partnerid,part.str,k
1,1 1,0.00173313
1,1 2,0.002254129
1,1 3,0.001747698
1,1 4,0.001652763
2,2 1,0.003600969
2,2 2,0.00413132
2,2 3,0.004403889
2,2 4,0.008488218
3,3 1,0.012570488
3,3 2,0.010419221
3,3 3,0.007583838
3,3 4,0.017281077
4,4 1,0.012501987
4,4 2,0.009277983
4,4 3,0.007025389
5,5 1,0.006078091
5,5 2,0.008058819
5,5 3,0.006866131
5,5 4,0.005093362
6,6 1,0.004130055
6,6 2,0.008654017
6,6 3,0.003978358
6,6 4,0.007491442
7,7 1,0.002385749
7,7 2,0.002420098
7,7 3,0.00285897
7,7 4,0.002385605
8,8 1,0.004516149
8,8 2,0.001716564
8,8 3,0.002825631
8,8 4,0.003718852
9,9 1,0.00233434
9,9 2,0.002540903
9,9 3,0.004590611
9,9 4,0.005645653
10,10 1,0.01613727
10,10 2,0.018664731
10,10 3,0.021791632
10,10 4,0.021504791
11,11 1,0.009579104
11,11 2,0.008212289
11,11 3,0.011670322
11,11 4,0.012075563
12,12 1,0.012109475
12,12 2,0.011928119
12,12 3,0.011516794
12,12 4,0.012118445
13,13 1,0.002587134
13,13 2,0.013081284
13,13 3,0.002617492
13,13 4,0.002582576
14,14 1,0.001614852
14,14 2,0.005459204
14,14 3,0.002221777
14,14 4,0.002283775
15,15 1,0.001328528
15,15 2,0.001724514
15,15 3,0.00161006
15,15 4,0.001122511
16,16 1,0.017021389
16,16 2,0.043660988
16,16 3,0.027247511
16,16 4,0.011105627
17,17 1,0.003721597
17,17 2,0.010308455
17,17 3,0.002342981
17,17 4,0.002115988
18,18 1,0.011977401
18,18 2,0.012467611
18,18 3,0.011556987
18,18 4,0.012136087
19,19 1,0.014244662
19,19 2,0.014079772
19,19 3,0.062778795
19,19 4,0.017086567
20,20 1,0.002976689
20,20 2,0.002254767
20,20 3,0.002349413
20,20 4,0.002043269
21,21 1,0.00551374
21,21 2,0.00426617
21,21 3,0.018403361
21,21 4,0.009800394
22,22 1,0.002118636
22,22 2,0.001721804
22,22 3,0.002349819
22,22 4,0.001862663
23,23 1,0.004012133
23,23 2,0.004408096
23,23 3,0.00249622
23,23 4,0.002550405
25,25 1,0.01456063
25,25 2,0.011761703
25,25 4,0.012334745
26,26 1,0.002683424
26,26 2,0.004212544
26,26 3,0.003337024
26,26 4,0.003259213
27,27 1,0.004598077
27,27 2,0.013036251
27,27 3,0.002581105
27,27 4,0.002770503
28,28 1,0.002370479
28,28 2,0.002185956
28,28 3,0.010180901
29,29 1,0.013603102
29,29 2,0.013528888
29,29 3,0.024083669
29,29 4,0.019370425
30,30 1,0.001756861
30,30 2,0.001826323
30,30 3,0.001608309
30,30 4,0.001810457
31,31 1,0.002022436
31,31 2,0.005762557
31,31 3,0.002119865
32,32 1,0.004473679
32,32 2,0.004532029
32,32 3,0.006070339
32,32 4,0.008072442
33,33 1,0.015625245
33,33 2,0.003276053
33,33 3,0.004290073
33,33 4,0.032071266
34,34 1,0.006279735
34,34 2,0.002762189
34,34 3,0.002551108
34,34 4,0.003834066
35,35 1,0.010822512
35,35 2,0.00824298
35,35 3,0.004294777
35,35 4,0.002588925
36,36 1,0.02045315
36,36 2,0.007116796
36,36 3,0.01895852
36,36 4,0.024904111
37,37 1,0.003872741
37,37 2,0.004490982
37,37 3,0.002191869
37,37 4,0.004872033
38,38 1,0.013891931
38,38 2,0.014252431
38,38 3,0.015252102
38,38 4,0.021207487
39,39 1,0.021855111
39,39 2,0.015555479
39,39 3,0.005813923
39,39 4,0.006707612
40,40 1,0.011470528
40,40 2,0.016788118
40,40 3,0.01125537
40,40 4,0.013614192
41,41 1,0.035485395
41,41 2,0.029111515
41,41 3,0.029832064
41,41 4,0.033532592
42,42 1,0.003434897
42,42 2,0.010596993
42,42 3,0.002730594
42,42 4,0.002616381
43,43 1,0.004464728
43,43 2,0.004629685
43,43 3,0.003904905
43,43 4,0.012704662
44,44 1,0.003307798
44,44 2,0.002884484
44,44 3,0.005512032
45,45 1,0.003819486
45,45 2,0.002089875
45,45 3,0.00219669
45,45 4,0.002243274
46,46 1,0.001750796
46,46 2,0.001569096
46,46 3,0.001878621
46,46 4,0.001754305
47,47 1,0.001806014
47,47 2,0.003723043
47,47 3,0.002704327
47,47 4,0.001952729
48,48 1,0.018982232
48,48 2,0.002352398
48,48 3,0.005762534
48,48 4,0.002125672
49,49 1,0.004581627
49,49 2,0.011845619
49,49 3,0.002815074
49,49 4,0.028068136
50,50 1,0.02015591
50,50 2,0.049826641
50,50 3,0.001823423
50,50 4,0.002113255
51,51 1,0.010943176
51,51 2,0.008164623
51,51 3,0.013466562
51,51 4,0.007629475
52,52 1,0.007868101
52,52 2,0.012512177
52,52 3,0.018081309
