partnerid,part.str,k
100,100 1,0.00065034
100,100 2,0.000820437
100,100 3,0.000599724
100,100 4,0.000307838
101,101 1,0.001455041
101,101 2,0.001677893
101,101 3,0.001171367
101,101 4,0.002165037
1,1 1,0.000236956
1,1 2,0.000282759
1,1 3,0.000255334
82,82 4,0.006817579
2,2 1,0.000486934
2,2 2,0.000568898
2,2 3,0.000625899
2,2 4,0.001144846
3,3 1,0.001232409
3,3 2,0.000942218
3,3 3,0.000821184
3,3 4,0.002017245
83,83 1,0.002274392
83,83 2,0.003172673
83,83 3,0.004449425
83,83 4,0.003112305
4,4 1,0.003029079
4,4 2,0.0019799
5,5 1,0.000791688
5,5 4,0.000729243
102,102 1,0.000171694
102,102 4,0.000193144
103,103 1,0.001900461
103,103 2,0.001359753
103,103 3,0.002104724
103,103 5,0.000912764
103,103 6,0.000569085
8,8 1,0.000684591
8,8 2,0.00021827
8,8 3,0.00038682
104,104 1,0.000208532
104,104 2,0.000263664
104,104 3,0.000833756
104,104 4,0.000145276
10,10 1,0.004290277
10,10 2,0.005004996
10,10 3,0.004466008
10,10 4,0.005276051
105,105 1,0.009174487
105,105 2,0.008092502
105,105 3,0.00829298
105,105 4,0.008818936
11,11 1,0.000785932
11,11 3,0.000863414
12,12 1,0.001652786
12,12 2,0.001646495
12,12 3,0.001770744
12,12 4,0.002065032
14,14 1,0.0002365
14,14 2,0.001046201
14,14 3,0.000323779
14,14 4,0.000329582
15,15 1,0.000523504
15,15 2,0.000584665
15,15 4,0.000240457
107,107 1,0.006847486
16,16 1,0.001957129
16,16 2,0.004221251
16,16 3,0.002921998
16,16 4,0.00142055
84,84 1,0.000432703
84,84 2,0.000358713
84,84 3,0.000847654
84,84 4,0.000545998
85,85 3,0.000450261
85,85 4,0.003935628
85,85 5,0.003626309
85,85 6,0.000187509
85,85 7,0.000157153
85,85 8,0.002131626
17,17 1,0.000697987
17,17 2,0.001715516
17,17 3,0.000308576
17,17 4,0.000260834
87,87 1,0.002005077
87,87 2,0.005589054
87,87 3,0.002459888
87,87 4,0.004732155
18,18 1,0.008837911
18,18 2,0.010620899
18,18 3,0.010272527
18,18 4,0.009970887
19,19 1,0.001553156
19,19 2,0.001807725
19,19 3,0.008833282
19,19 4,0.002299464
109,109 1,0.001119825
109,109 2,0.00054685
109,109 3,0.001503881
109,109 4,0.000697275
110,110 1,0.001006984
110,110 2,0.001071466
110,110 3,0.000884358
110,110 4,0.0011809
111,111 2,0.00245458
111,111 3,0.002999321
111,111 4,0.002887022
112,112 1,0.000179435
112,112 3,0.000208026
112,112 4,0.000175579
20,20 1,0.000282634
20,20 4,0.00019059
21,21 1,0.000772892
21,21 2,0.000558042
21,21 3,0.002449098
21,21 4,0.00128649
22,22 1,0.000180173
22,22 2,0.00013511
22,22 3,0.0001948
22,22 4,0.000141253
23,23 1,0.000220577
23,23 2,0.000235462
23,23 3,0.000121084
23,23 4,0.00012751
27,27 1,0.000532904
27,27 2,0.001669899
27,27 3,0.00024723
28,28 1,0.000230637
28,28 2,0.000253721
28,28 3,0.001338519
30,30 1,0.000128005
30,30 2,0.000137304
30,30 3,0.00011392
30,30 4,0.00012824
113,113 1,0.000366449
113,113 2,0.000304438
113,113 3,0.000370992
113,113 4,0.000486546
33,33 2,0.000276317
33,33 4,0.003187276
90,90 1,0.002244614
90,90 3,0.007441815
34,34 4,0.000239974
35,35 2,0.005246144
35,35 3,0.001757116
35,35 4,0.000813249
36,36 1,0.001578029
36,36 2,0.0005866
36,36 3,0.001490848
36,36 4,0.001808834
116,116 1,0.000414411
116,116 2,0.00059715
116,116 3,0.000456724
116,116 4,0.000383015
116,116 12,0.000289418
116,116 13,0.00026675
116,116 14,0.000349771
120,120 1,0.000769803
120,120 2,0.00016182
120,120 3,0.000287177
120,120 4,0.000148148
91,91 1,0.000280057
91,91 2,0.000530066
91,91 3,0.003173284
91,91 4,0.000727859
39,39 3,0.000713477
41,41 1,0.004206813
41,41 2,0.003351514
41,41 3,0.003301656
41,41 4,0.00376907
121,121 1,0.000911
121,121 2,0.000516042
121,121 3,0.00040789
121,121 4,0.000535517
122,122 1,0.000357556
122,122 2,0.001245048
122,122 3,0.001310267
122,122 4,0.000580127
42,42 1,0.000425724
42,42 2,0.001615115
42,42 3,0.00032292
42,42 4,0.000330702
43,43 1,0.000307164
43,43 2,0.000318797
43,43 3,0.000266168
43,43 4,0.000701305
44,44 1,0.00015655
44,44 2,0.000132751
44,44 3,0.000273696
45,45 1,0.000461945
45,45 2,0.000223413
45,45 3,0.000230538
45,45 4,0.000243384
46,46 1,0.000142915
46,46 2,0.000122828
46,46 3,0.000138507
46,46 4,0.000137604
47,47 1,0.000185865
47,47 2,0.000457084
47,47 3,0.000285263
48,48 1,0.001711874
48,48 3,0.000564976
48,48 4,0.00014456
93,93 1,0.000249762
93,93 2,0.000260568
93,93 3,0.000289352
93,93 4,0.000252139
123,123 1,0.000555807
123,123 2,0.000455965
123,123 3,0.000342242
123,123 4,0.000497151
94,94 1,0.00050725
94,94 2,0.000485486
94,94 3,0.000319185
49,49 1,0.000427775
49,49 2,0.001092137
49,49 3,0.000240194
49,49 4,0.002464057
124,124 1,0.002056822
124,124 2,0.000685382
124,124 3,0.000657308
124,124 4,0.002251546
125,125 1,0.004051976
125,125 2,0.003588625
125,125 3,0.000162616
125,125 4,0.000210016
53,53 1,0.000237577
53,53 2,0.000111313
53,53 3,0.000132146
53,53 4,8.91E-05
126,126 1,0.001588364
126,126 2,0.002261773
126,126 3,0.003393837
126,126 4,0.004313509
127,127 1,0.000492043
127,127 2,0.000201072
127,127 3,0.000193315
127,127 4,0.000199386
55,55 2,0.001706185
55,55 3,0.001725565
55,55 4,0.00101162
129,129 1,0.001218951
129,129 2,0.002088909
129,129 3,0.002206972
129,129 4,0.004076478
57,57 1,0.000144922
57,57 2,0.000117275
57,57 3,0.000177861
57,57 4,0.000122507
57,57 5,0.000137833
57,57 6,0.000229727
57,57 7,0.000157787
57,57 8,0.000215706
57,57 9,0.000195772
57,57 10,0.000226374
57,57 11,0.000337755
57,57 12,0.000220402
130,130 1,0.000316332
130,130 2,0.000589546
130,130 3,0.000352898
130,130 4,0.000162257
58,58 1,0.001165007
58,58 2,0.00128892
58,58 3,0.001222935
58,58 4,0.002053245
59,59 1,0.000597121
59,59 2,0.000767042
131,131 1,0.000757783
131,131 2,0.000426713
131,131 3,0.002480551
131,131 4,0.001610241
132,132 1,0.000271894
132,132 2,0.000406706
132,132 3,0.000367868
132,132 4,0.000361283
133,133 1,0.0024925
133,133 2,0.001631456
133,133 3,0.001480699
133,133 4,0.001473208
61,61 2,0.002496521
61,61 4,0.003275415
62,62 1,0.000397971
62,62 3,0.000606068
62,62 4,0.000460585
63,63 1,0.000754237
63,63 2,0.000285647
65,65 1,0.00170886
65,65 2,0.000671719
65,65 3,0.000606624
65,65 4,0.00077322
66,66 1,0.000274205
66,66 2,0.00022652
66,66 3,0.000302794
66,66 4,0.000195908
68,68 1,0.000162656
68,68 2,0.000180687
68,68 3,0.000145067
68,68 4,0.000924888
134,134 1,0.001333333
134,134 2,0.000516154
134,134 3,0.000329993
134,134 4,0.000981334
72,72 1,0.000395829
72,72 2,0.000880186
72,72 3,0.000410528
72,72 4,0.000315811
73,73 1,0.002483654
73,73 2,0.002363579
73,73 3,0.002414358
73,73 4,0.001455932
74,74 1,0.00249534
74,74 2,0.001791327
74,74 3,0.00248958
74,74 4,0.001075815
75,75 1,0.000677205
75,75 2,0.00100052
75,75 3,0.00123227
75,75 4,0.001160663
97,97 1,0.004761851
97,97 2,0.007025728
97,97 3,0.006150463
97,97 4,0.003314954
98,98 1,0.010098654
98,98 2,0.005079363
98,98 3,0.00323115
98,98 4,0.002293851
77,77 1,0.000723984
77,77 2,0.000221729
77,77 3,0.000199423
77,77 4,0.000322606
78,78 1,0.000638086
78,78 2,0.001393808
78,78 3,0.001022102
78,78 4,0.000754694
99,99 1,0.002658981
99,99 2,0.002734899
99,99 3,0.002338377
79,79 1,0.00032738
79,79 2,0.000340288
79,79 3,0.00037388
79,79 4,0.000551217
80,80 1,0.002489065
80,80 2,0.000375547
80,80 3,0.0006175
80,80 4,0.000481174
